,blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
395,24115,291,76,27486,28406,297,68,31700,21,5,0,1,0,0,0,0,0,9,8,19,25,6,1,0,0,0,1,0,0,19,19,9,1613583956620,red,NA1_3791868707
396,28361,279,127,30158,26264,337,67,27868,18,2,0,1,1,0,0,1,0,17,17,10,25,1,0,0,0,0,0,0,0,10,11,17,1610053434275,blue,NA1_3734628152
397,28779,279,76,27386,31396,315,80,29074,18,6,0,0,0,1,1,0,0,17,25,21,28,4,0,0,0,0,1,0,0,21,36,17,1609713084013,blue,NA1_3729689423
398,25937,320,49,27656,28141,328,112,30316,29,8,0,0,0,0,1,0,0,11,15,13,29,7,1,0,0,1,0,1,0,13,15,11,1612912057253,red,NA1_3781088888
399,25150,345,92,29160,27532,340,76,30108,23,11,0,0,0,1,0,1,0,9,6,13,24,7,0,1,0,0,0,0,0,13,19,9,1613437480564,blue,NA1_3789645541
400,26874,324,80,27437,20591,271,80,25013,21,6,0,0,0,1,0,1,0,11,16,5,28,4,0,0,1,0,0,0,0,5,4,11,1613435138717,blue,NA1_3789582919
401,23144,268,56,24400,28615,335,93,31033,24,3,0,0,0,0,0,0,0,9,10,16,27,5,0,1,1,0,1,0,0,16,11,9,1609963143701,red,NA1_3733577289
402,27138,305,72,28746,25887,267,72,26999,23,4,0,0,0,1,0,0,0,17,27,11,23,3,0,0,0,0,1,1,0,11,20,17,1609716521831,blue,NA1_3729788349
403,22839,228,76,27729,29794,329,100,31816,22,4,0,0,0,0,0,0,0,8,9,13,24,1,1,0,0,1,1,1,0,13,19,8,1610223804564,red,NA1_3737214506
404,24893,314,68,28131,28644,338,104,32602,25,7,0,0,0,0,0,0,0,10,9,17,29,9,0,1,0,0,0,1,0,17,17,10,1609823531459,blue,NA1_3731427366
